project,training_mode,size,run_id,run_name,state,url,step,timestamp,runtime,train_loss,val_loss
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,20500,1762444720.0095124,4812.412484407425,0.8827947974205017,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,20550,1762444730.9956815,4823.398653507233,0.861634373664856,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,20600,1762444741.8188295,4834.221801519394,0.8816708326339722,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,20650,1762444753.5339625,4845.93693447113,0.8827490210533142,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,20700,1762444764.9142492,4857.317221164703,0.8822148442268372,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,20750,1762444776.2714102,4868.674382209778,0.9303918480873108,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,20800,1762444787.40035,4879.8033220767975,0.8780965805053711,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,20850,1762444799.2961931,4891.69916510582,0.8941789269447327,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,20900,1762444810.4248772,4902.827849149704,0.9331128001213074,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,20950,1762444821.3552818,4913.75825381279,0.901406466960907,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21000,1762444832.9223075,4925.325279474258,0.9086733460426331,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21050,1762444845.0875843,4937.490556240082,0.9027999639511108,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21100,1762444856.4639099,4948.866881847382,0.8772276639938354,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21120,1762444860.9722557,4953.375227689743,,1.1860355265230507
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21150,1762444870.0756261,4962.478598117828,0.9060461521148682,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21200,1762444881.400803,4973.803775072098,0.8720284104347229,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21250,1762444893.3467224,4985.749694347382,0.8899222612380981,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21300,1762444905.2840402,4997.687012195587,0.8929164409637451,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21350,1762444916.5024402,5008.905412197113,0.8867742419242859,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,21400,1762444928.2908905,5020.693862438202,0.8799671530723572,
