project,training_mode,size,run_id,run_name,state,url,step,timestamp,runtime,train_accuracy,val_accuracy
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25000,1762424366.981258,10186.977101802826,0.648359402563801,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25050,1762424388.7380505,10208.733894348145,0.662987825691205,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25100,1762424410.3691392,10230.364983081818,0.6613249068953843,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25150,1762424431.0192904,10251.015134334564,0.6432687874596589,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25200,1762424450.4666843,10270.46252822876,0.6553814480155553,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25250,1762424470.7029006,10290.698744535446,0.6745810055865922,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25300,1762424490.9892797,10310.985123634338,0.6619374345854169,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25350,1762424510.3742256,10330.370069503784,0.6433431617146745,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25400,1762424529.8618746,10349.857718467712,0.6387576759565423,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25450,1762424549.8885942,10369.884438037872,0.6573607038123167,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25500,1762424570.5235255,10390.519369363785,0.654171562867215,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25550,1762424589.9271677,10409.923011541367,0.6481828839390387,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25600,1762424609.1480293,10429.143873214722,0.5516998827667058,0.4185029886698189
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25650,1762424630.7756894,10450.771533250809,0.6497653656861623,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25700,1762424651.2059078,10471.201751708984,0.6464979399646851,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25750,1762424672.9312496,10492.92709350586,0.6617079264138087,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25800,1762424694.0621626,10514.05800652504,0.6565892377728493,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25850,1762424713.6761363,10533.671980142593,0.6510090069547372,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25900,1762424733.123976,10553.119819879532,0.6547591610970269,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,25950,1762424752.648794,10572.644637823105,0.6427249595188527,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,26000,1762424772.7656372,10592.761481046677,0.6526548672566371,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,26050,1762424792.2200694,10612.215913295746,0.6403430608153263,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,26100,1762424811.665893,10631.66173696518,0.6631083562901745,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,26150,1762424831.71377,10651.709613800049,0.6455578752029691,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,26200,1762424850.829824,10670.825667858124,0.6535460992907801,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,26240,1762424866.3863277,10686.38217163086,,0.42403425818538676
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,26250,1762424870.4672174,10690.463061332703,0.6635556567266105,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,26300,1762424889.8759725,10709.871816396713,0.6408718717564295,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,26350,1762424909.519749,10729.515592813492,0.6505376344086021,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,26400,1762424928.9895875,10748.985431432724,0.6714684014869888,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,26450,1762424948.63632,10768.632164001465,0.6671590909090909,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,26500,1762424968.761521,10788.757364988327,0.6621265880737095,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,26550,1762424990.4308524,10810.426696300507,0.6533906177426846,
cellarc100k_50e_embedding_medium,embedding,medium,iwwqy6bl,hrm_medium_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_medium/runs/iwwqy6bl,26600,1762425010.839319,10830.835162878036,0.6399860594795539,
